,close,ret
2024/4/11,2374.05,-0.87
2024/4/10,2396.74,-0.33
2024/4/9,2404.61,-0.39
2024/4/8,2414.09,-0.66
2024/4/3,2430.17,-0.23
2024/4/2,2435.76,-0.24
2024/4/1,2441.57,1.1
2024/3/29,2414.92,0.54
2024/3/28,2401.99,0.13
2024/3/27,2398.94,-0.61
2024/3/26,2413.74,0.52
2024/3/25,2401.21,-0.08
2024/3/22,2403.2,-0.98
2024/3/21,2427.1,0.03
2024/3/20,2426.46,0.4
2024/3/19,2416.83,-0.88
2024/3/18,2438.19,0.45
2024/3/15,2427.2,0.14
2024/3/14,2423.86,-0.15
2024/3/13,2427.6,-0.93
2024/3/12,2450.47,0.3
2024/3/11,2443.11,0.7
2024/3/8,2426.17,-0.03
2024/3/7,2426.97,-0.29
2024/3/6,2434.12,-0.5
2024/3/5,2446.42,1.15
2024/3/4,2418.58,0.15
2024/3/1,2414.84,0.07
2024/2/29,2413.14,1.15
2024/2/28,2385.61,-0.81
2024/2/27,2405.06,0.48
2024/2/26,2393.55,-1.64
2024/2/23,2433.41,0.01
2024/2/22,2433.08,0.95
2024/2/21,2410.23,1.74
2024/2/20,2369.08,-0.1
2024/2/19,2371.55,0.81
2024/2/8,2352.58,0.36
2024/2/7,2344.15,1.09
2024/2/6,2318.84,2.82
2024/2/5,2255.28,1.18
2024/2/2,2229.01,-0.86
2024/2/1,2248.27,-0.27
2024/1/31,2254.3,-0.73
2024/1/30,2270.98,-1.45
2024/1/29,2304.44,-0.43
2024/1/26,2314.37,0.07
2024/1/25,2312.85,2.31
2024/1/24,2260.56,1.54
2024/1/23,2226.37,-0.19
2024/1/22,2230.61,-0.58
2024/1/19,2243.54,0.23
2024/1/18,2238.46,1.78
2024/1/17,2199.26,-2.21
2024/1/16,2248.98,0.47
2024/1/15,2238.5,0.06
2024/1/12,2237.21,-0.13
2024/1/11,2240.11,0.22
2024/1/10,2235.21,-0.46
2024/1/9,2245.62,0.08
2024/1/8,2243.84,-1.09
2024/1/5,2268.54,-0.46
2024/1/4,2279.04,-0.69
2024/1/3,2294.84,0.11
2024/1/2,2292.23,-1.46
2023/12/29,2326.17,0.37
2023/12/28,2317.7,2.26
2023/12/27,2266.54,0.19
2023/12/26,2262.21,-0.47
2023/12/25,2272.96,0.11
2023/12/22,2270.5,0.4
2023/12/21,2261.38,1.06
2023/12/20,2237.58,-0.87
2023/12/19,2257.21,0.27
2023/12/18,2251.23,0.26
2023/12/15,2245.29,-0.21
2023/12/14,2249.94,-0.49
2023/12/13,2261.02,-1.91
2023/12/12,2305.14,0.54
2023/12/11,2292.68,0.48
2023/12/8,2281.65,0.3
2023/12/7,2274.83,-0.4
2023/12/6,2284.06,-0.11
2023/12/5,2286.58,-2.03
2023/12/4,2333.88,-0.77
2023/12/1,2352,-0.59
2023/11/30,2366,0.33
2023/11/29,2358.12,-0.55
2023/11/28,2371.21,0.02
2023/11/27,2370.72,-0.85
2023/11/24,2391.02,-0.59
2023/11/23,2405.17,0.34
2023/11/22,2396.9,-0.8
2023/11/21,2416.24,0.48
2023/11/20,2404.77,0.27
2023/11/17,2398.2,-0.25
2023/11/16,2404.32,-0.94
2023/11/15,2427.12,0.86
